[0.000375 0.000375]
[9.375000e-04 6.249995e-05]
[0.00146875 0.00065625]
[0.00285937 0.00032812]
[0.00461719 0.00135156]
[0.00827734 0.00120703]
[0.01362305 0.00318164]
[0.02361621 0.00387988]
[0.0393042  0.00817822]
[0.06713451 0.01172387]
[0.11242566 0.02209337]
[0.19073185 0.03436943]
[0.32046723 0.06124646]
[0.54194736 0.09923709]
[0.9121582  0.17198648]
[1.5402241  0.28434247]
[2.5946789  0.48601925]
[2.5946789  0.48601925]
[2.0800562  0.38662058]
[2.0296369  0.38086176]
[2.0296369  0.38086176]
[2.0296369  0.38086176]
[2.0296369  0.38086176]
[2.067831  0.3928404]
[2.067831  0.3928404]
[2.067831  0.3928404]
[2.06038    0.40055752]
[2.06038    0.40055752]
[2.1293173 0.4322319]
[2.052      0.42641562]
[2.151216   0.48685622]
[2.0461893  0.50544393]
[2.1921082  0.63561904]
[2.0550141 0.737882 ]
[2.278305  1.0493639]
[2.1157627 1.4096308]
[2.3390536 1.7211126]
[2.1765113 2.0813797]
[2.1765113 2.0813797]
[2.0242305 2.0157056]
[2.0242305 2.0157056]
[2.0242305 2.0157056]
[2.0242305 2.0157056]
[2.0242305 2.0157056]
[2.0242305 2.0157056]
[2.0242305 2.0157056]
[2.010064  1.9675682]
[1.9951905 1.9893124]
[1.9951905 1.9893124]
[2.0014324 2.0060048]
[2.0014324 2.0060048]
[1.9994209 1.9954988]
[2.0031486 1.9990587]
[2.0013585 2.0016418]
[2.0008373 1.9979246]
[1.9990473 2.0005076]
[2.0006504 2.000429 ]
[2.000343  1.9991964]
[1.9997721 2.0001602]
[1.9997721 2.0001602]
[1.9997721 2.0001602]
[2.000133  1.9998792]
[2.0001533 2.0000367]
[1.9999576 2.0000591]
[1.9999576 2.0000591]
[1.9999576 2.0000591]
[1.9999576 2.0000591]
